Date : 2025-01-27 17:55:28
Directory : /home/manuareraa/Manu/github/exira/platform/frontend
Total : 118 files,  21570 codes, 127 comments, 1029 blanks, all 22726 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/manuareraa/Manu/github/exira/platform/frontend/hooks/use-toast.ts                                            | TypeScript         |        160 |          3 |         32 |        195 |
| /home/manuareraa/Manu/github/exira/platform/frontend/hooks/useCryptoData.ts                                        | TypeScript         |         67 |          2 |          8 |         77 |
| /home/manuareraa/Manu/github/exira/platform/frontend/hooks/useDashboardData.ts                                     | TypeScript         |        101 |         10 |         13 |        124 |
| /home/manuareraa/Manu/github/exira/platform/frontend/hooks/useDebounce.ts                                          | TypeScript         |          9 |          0 |          5 |         14 |
| /home/manuareraa/Manu/github/exira/platform/frontend/hooks/useNetworkConfig.ts                                     | TypeScript         |          9 |          0 |          4 |         13 |
| /home/manuareraa/Manu/github/exira/platform/frontend/hooks/usePortfolioData.ts                                     | TypeScript         |        143 |          4 |         15 |        162 |
| /home/manuareraa/Manu/github/exira/platform/frontend/hooks/useRealEstateTokenData.ts                               | TypeScript         |        119 |          3 |         10 |        132 |
| /home/manuareraa/Manu/github/exira/platform/frontend/hooks/useTokenData.ts                                         | TypeScript         |         43 |          3 |          9 |         55 |
| /home/manuareraa/Manu/github/exira/platform/frontend/hooks/useTransactionData.ts                                   | TypeScript         |        129 |          1 |         12 |        142 |
| /home/manuareraa/Manu/github/exira/platform/frontend/lib/supabase.ts                                               | TypeScript         |          7 |          0 |          4 |         11 |
| /home/manuareraa/Manu/github/exira/platform/frontend/lib/theme.tsx                                                 | TypeScript JSX     |         57 |          1 |         16 |         74 |
| /home/manuareraa/Manu/github/exira/platform/frontend/lib/utils.ts                                                  | TypeScript         |          5 |          0 |          2 |          7 |
| /home/manuareraa/Manu/github/exira/platform/frontend/next-env.d.ts                                                 | TypeScript         |          0 |          4 |          2 |          6 |
| /home/manuareraa/Manu/github/exira/platform/frontend/next.config.mjs                                               | JavaScript         |         41 |          2 |          6 |         49 |
| /home/manuareraa/Manu/github/exira/platform/frontend/package-lock.json                                             | JSON               |     13,242 |          0 |          1 |     13,243 |
| /home/manuareraa/Manu/github/exira/platform/frontend/package.json                                                  | JSON               |         79 |          0 |          1 |         80 |
| /home/manuareraa/Manu/github/exira/platform/frontend/postcss.config.mjs                                            | JavaScript         |          6 |          1 |          2 |          9 |
| /home/manuareraa/Manu/github/exira/platform/frontend/public/ethereum.svg                                           | XML                |         48 |          0 |          0 |         48 |
| /home/manuareraa/Manu/github/exira/platform/frontend/public/logo.svg                                               | XML                |          6 |          0 |          1 |          7 |
