"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Markdown", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 0, 11, 118
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 7, 32
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 6, 45
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/resizable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 7, 46
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 6, 49
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 146, 0, 0, 0, 15, 161
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 125, 0, 0, 0, 16, 141
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 697, 0, 0, 12, 55, 764
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 0, 11, 118
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 8, 56
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 116, 0, 0, 0, 14, 130
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 0, 10, 62
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 7, 46
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 8, 31
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 5, 20
"/home/manuareraa/Manu/github/exira/platform/frontend/components/ui/use-toast.ts", "TypeScript", 0, 0, 160, 0, 0, 0, 0, 0, 3, 32, 195
"/home/manuareraa/Manu/github/exira/platform/frontend/config/sidebar.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"/home/manuareraa/Manu/github/exira/platform/frontend/context/GlobalStateContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 8, 56
"/home/manuareraa/Manu/github/exira/platform/frontend/hooks/use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 5, 20
"/home/manuareraa/Manu/github/exira/platform/frontend/hooks/use-toast.ts", "TypeScript", 0, 0, 160, 0, 0, 0, 0, 0, 3, 32, 195
"/home/manuareraa/Manu/github/exira/platform/frontend/hooks/useCryptoData.ts", "TypeScript", 0, 0, 67, 0, 0, 0, 0, 0, 2, 8, 77
"/home/manuareraa/Manu/github/exira/platform/frontend/hooks/useDashboardData.ts", "TypeScript", 0, 0, 101, 0, 0, 0, 0, 0, 10, 13, 124
"/home/manuareraa/Manu/github/exira/platform/frontend/hooks/useDebounce.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 5, 14
"/home/manuareraa/Manu/github/exira/platform/frontend/hooks/useNetworkConfig.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"/home/manuareraa/Manu/github/exira/platform/frontend/hooks/usePortfolioData.ts", "TypeScript", 0, 0, 143, 0, 0, 0, 0, 0, 4, 15, 162
"/home/manuareraa/Manu/github/exira/platform/frontend/hooks/useRealEstateTokenData.ts", "TypeScript", 0, 0, 119, 0, 0, 0, 0, 0, 3, 10, 132
"/home/manuareraa/Manu/github/exira/platform/frontend/hooks/useTokenData.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 3, 9, 55
"/home/manuareraa/Manu/github/exira/platform/frontend/hooks/useTransactionData.ts", "TypeScript", 0, 0, 129, 0, 0, 0, 0, 0, 1, 12, 142
"/home/manuareraa/Manu/github/exira/platform/frontend/lib/supabase.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 11
"/home/manuareraa/Manu/github/exira/platform/frontend/lib/theme.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 1, 16, 74
"/home/manuareraa/Manu/github/exira/platform/frontend/lib/utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"/home/manuareraa/Manu/github/exira/platform/frontend/next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"/home/manuareraa/Manu/github/exira/platform/frontend/next.config.mjs", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 0, 2, 6, 49
"/home/manuareraa/Manu/github/exira/platform/frontend/package-lock.json", "JSON", 13242, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13243
